Name,Nationality,Occupation,Affiliation,Ajah,Build,Clan,Current.status,Date.of.birth,Date.of.death,Eye.color,First.appeared,First.mentioned,Gender,Hair.color,Height,Last.appeared,Last.mentioned,Race,Rank,Sept,Society,Title,Weight
Abaldar Yulan,Seanchan,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TPOD:24,NA,Male,Bald,Very small,AMOL:37,NA,NA,Lieutenant-General,NA,NA,NA,NA
Abar,Domani,Entertainer,Valan Luca,NA,Lean,NA,NA,NA,NA,NA,KOD:8,NA,Male,NA,NA,NA,KOD:11,NA,NA,NA,NA,NA,NA
Abdel Omerna,Amadician,Soldier,Children of the Light,NA,NA,NA,Dead,NA,1000 NE,"Dark, Deep, Thoughtful",LOC:9,LOC:9,Male,"Long, White",Tall,NA,NA,NA,Lord Captain,NA,NA,NA,NA
Abell Cauthon,NA,Village Councilor,Two Rivers,NA,NA,NA,Alive,955 NE,NA,NA,TSR:31,TEOTW:7,Male,NA,NA,AMOL:Epilogue,NA,NA,NA,NA,NA,NA,NA
Abelle Pendar,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,LOC:16,TFOH:19,Male,Gray,NA,NA,NA,NA,High Seat,NA,NA,Lord,NA
Abors,Unknown nationality,Asha'man,The Shadow,NA,NA,NA,Dead,NA,1000 NE,NA,AMOL:10,NA,Male,NA,NA,AMOL:14,NA,NA,Asha'man,NA,NA,NA,NA
Ackley Ferran,Andoran,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:33,Male,NA,NA,NA,TEOTW:33,NA,NA,NA,NA,NA,NA
Adamad,Borderlander,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:Prologue,NA,Male,NA,NA,TGS:Prologue,NA,NA,NA,NA,NA,NA,NA
Adan,Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,TSR:25,NA,Male,NA,NA,TSR:26,NA,NA,NA,NA,NA,NA,NA
Adan al'Caar,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:2,Male,NA,NA,NA,TEOTW:2,NA,NA,NA,NA,NA,NA
Adden,Unknown nationality,NA,NA,NA,Large,NA,Dead,NA,NA,NA,TDR:39,NA,Male,Fair,NA,TDR:39,NA,NA,NA,NA,NA,NA,NA
Admar,Unknown nationality,Soldier,Band of the Red Hand,NA,NA,NA,Alive,NA,NA,NA,KOD:37,NA,Male,NA,NA,KOD:37,NA,NA,Officer,NA,NA,NA,NA
Admer Nem,Andoran,Farmer,NA,NA,Stout,NA,Alive,NA,NA,NA,TFOH:1,NA,Male,Lank and thinning,NA,TFOH:1,NA,NA,NA,NA,NA,NA,NA
Admira,Tairen,Merchant,NA,NA,Stocky,NA,Alive,NA,NA,NA,WH:32,NA,Male,NA,NA,WH:32,NA,NA,NA,NA,NA,NA,NA
Adrin,Saldaean,Soldier,Davram Bashere,NA,NA,NA,Dead,NA,1000 NE,NA,TGS:11,NA,Male,Fair,NA,TGS:11,NA,NA,NA,NA,NA,NA,NA
Adsalan,Unknown nationality,Warder,White Tower,NA,NA,NA,Dead,NA,NA,NA,TGS:12,NA,Male,Ruddy,NA,TGS:12,NA,NA,NA,NA,NA,Gaidin,NA
Aedmun Matherin,Andoran,NA,House Trakand,NA,NA,NA,Alive,NA,NA,NA,NA,COT:10,Male,NA,NA,NA,COT:10,NA,High Seat,NA,NA,Lord,NA
Aedomon,Saferin,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TSR:37,Male,NA,NA,NA,TSR:37,NA,King,NA,NA,King of Safer,NA
Aedwin Cole,Unknown nationality,Sailor,Bayle Domon,NA,NA,NA,Alive,NA,NA,NA,TGH:46,NA,Male,NA,NA,TGH:46,NA,NA,NA,NA,NA,NA,NA
Aeman Senhold,Amadician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA,NA,NA,NA,General,NA,NA,Lord,NA
Aemin,Andoran,Farrier,Perrin Aybara,NA,Broad and stocky,NA,Alive,NA,NA,NA,TPOD:9,NA,Male,Graying,NA,TOM:40,NA,NA,NA,NA,NA,NA,NA
Aemon al Caar al Thorin,Manetherenite,NA,NA,NA,NA,NA,Dead,c. 1155 AB,c. 1200 AB,NA,NA,TEOTW:9,Male,NA,NA,NA,TFOH:51,NA,Nobility,NA,NA,King of Manetheren,NA
Afrim Hansard,Andoran,Soldier,Queen's Guard,NA,Burly,NA,Alive,NA,NA,NA,KOD:16,NA,Male,NA,NA,KOD:16,NA,NA,NA,NA,NA,NA,NA
Agardo Saranche,Tairen,Innkeeper,NA,NA,Lean,NA,Alive,NA,NA,Dark,KOD:21,NA,Male,Balding,NA,KOD:21,NA,NA,NA,NA,NA,NA,NA
Agelmar Jagad,Shienaran,NA,NA,NA,NA,NA,Alive,NA,NA,Brown,TEOTW:46,NA,Male,Pure white topknot,NA,AMOL:28,AMOL:32,NA,General,NA,NA,Lord of Fal Dara,NA
