Book,Chapter,Character,Word Count,Percentage,pov_combined,flag
New Spring,Ch1: The Hook,Lan Mandragoran,5.677,"4,66%",Lan Mandragoran,1
New Spring,Ch2: A Wish Fulfilled,Moiraine Damodred,4.949,"4,06%",Moiraine Damodred,1
New Spring,Ch3: Practice,Moiraine Damodred,8.708,"7,15%",Moiraine Damodred,1
New Spring,Ch4: Leaving the Tower,Moiraine Damodred,6.071,"4,98%",Moiraine Damodred,1
New Spring,Ch5: The Human Heart,Moiraine Damodred,7.958,"6,53%",Moiraine Damodred,1
New Spring,Ch6: Surprises,Moiraine Damodred,5.466,"4,49%",Moiraine Damodred,1
New Spring,Ch7: The Itch,Moiraine Damodred,3.302,"2,71%",Moiraine Damodred,1
New Spring,Ch8: Shreds of Serenity,Moiraine Damodred,4.266,"3,50%",Moiraine Damodred,1
New Spring,Ch9: It Begins,Moiraine Damodred,4.876,"4,00%",Moiraine Damodred,1
New Spring,Ch10: It Finishes,Moiraine Damodred,2.570,"2,11%",Moiraine Damodred,1
New Spring,Ch11: Just Before Dawn,Moiraine Damodred,3.299,"2,71%",Moiraine Damodred,1
New Spring,Ch12: Entering Home,Moiraine Damodred,3.475,"2,85%",Moiraine Damodred,
New Spring,Ch12: Entering Home,Siuan Sanche,1.338,"1,10%","Moiraine Damodred,Siuan Sanche",
New Spring,Ch12: Entering Home,Lan Mandragoran,633,"0,52%","Moiraine Damodred,Siuan Sanche,Lan Mandragoran",1
New Spring,Ch13: Business in the City,Moiraine Damodred,3.733,"3,06%",Moiraine Damodred,1
New Spring,Ch14: Changes,Moiraine Damodred,6.544,"5,37%",Moiraine Damodred,1
New Spring,Ch15: Into Canluum,Lan Mandragoran,2.804,"2,30%",Lan Mandragoran,1
New Spring,Ch16: The Deeps,Lan Mandragoran,4.304,"3,53%",Lan Mandragoran,1
New Spring,Ch17: An Arrival,Moiraine Damodred,5.127,"4,21%",Moiraine Damodred,1
New Spring,Ch18: A Narrow Passage,Moiraine Damodred,3.743,"3,07%",Moiraine Damodred,1
New Spring,Ch19: Pond Water,Moiraine Damodred,3.726,"3,06%",Moiraine Damodred,1
New Spring,Ch20: Breakfast in Manala,Lan Mandragoran,2.895,"2,38%",Lan Mandragoran,1
New Spring,Ch21: Some Tricks of the Power,Lan Mandragoran,1.809,"1,48%",Lan Mandragoran,
New Spring,Ch21: Some Tricks of the Power,Moiraine Damodred,2.504,"2,06%","Lan Mandragoran,Moiraine Damodred",1
New Spring,Ch22: Keeping Custom,Lan Mandragoran,5.116,"4,20%",Lan Mandragoran,1
New Spring,Ch23: The Evening Star,Moiraine Damodred,3.514,"2,88%",Moiraine Damodred,1
New Spring,Ch24: Making Use of Invisibility,Moiraine Damodred,2.902,"2,38%",Moiraine Damodred,1
New Spring,Ch25: An Answer,Moiraine Damodred,4.507,"3,70%",Moiraine Damodred,1
New Spring,Ch26: When to Surrender,Lan Mandragoran,1.119,"0,92%",Lan Mandragoran,
New Spring,Ch26: When to Surrender,Moiraine Damodred,2.882,"2,37%","Lan Mandragoran,Moiraine Damodred",1
New Spring,Epilogue,Moiraine Damodred,2.035,"1,67%",Moiraine Damodred,1
The Eye of the World,Prologue: Dragonmount,Lews Therin Telamon,2.362,"0,76%",Lews Therin Telamon,
The Eye of the World,Prologue: Dragonmount,Quote,254,"0,08%","Lews Therin Telamon,Quote",1
The Eye of the World,Ch1: An Empty Road,Rand al'Thor,7.164,"2,31%",Rand al'Thor,1
The Eye of the World,Ch2: Strangers,Rand al'Thor,4.956,"1,60%",Rand al'Thor,1
